[TRAIN] Step 119 | Loss: 6.449 | LR: 0.000119 | dt: 1060.72ms | tok/sec:  1930.77
[TRAIN] Step 120 | Loss: 6.627 | LR: 0.000120 | dt: 1056.78ms | tok/sec:  1937.96
[TRAIN] Step 121 | Loss: 6.528 | LR: 0.000121 | dt: 1058.20ms | tok/sec:  1935.37
[TRAIN] Step 122 | Loss: 6.361 | LR: 0.000122 | dt: 1062.81ms | tok/sec:  1926.97
[TRAIN] Step 123 | Loss: 6.500 | LR: 0.000123 | dt: 1056.68ms | tok/sec:  1938.15
[TRAIN] Step 124 | Loss: 6.615 | LR: 0.000124 | dt: 1061.46ms | tok/sec:  1929.42
[TRAIN] Step 125 | Loss: 6.431 | LR: 0.000125 | dt: 1062.86ms | tok/sec:  1926.88
[TRAIN] Step 126 | Loss: 6.581 | LR: 0.000126 | dt: 1060.59ms | tok/sec:  1930.99
[TRAIN] Step 127 | Loss: 6.707 | LR: 0.000127 | dt: 1055.92ms | tok/sec:  1939.54
[TRAIN] Step 128 | Loss: 6.489 | LR: 0.000128 | dt: 1056.72ms | tok/sec:  1938.08
[TRAIN] Step 129 | Loss: 6.418 | LR: 0.000129 | dt: 1058.89ms | tok/sec:  1934.10
[TRAIN] Step 130 | Loss: 6.330 | LR: 0.000130 | dt: 1058.46ms | tok/sec:  1934.89
[TRAIN] Step 131 | Loss: 6.362 | LR: 0.000131 | dt: 1060.85ms | tok/sec:  1930.52
[TRAIN] Step 132 | Loss: 6.301 | LR: 0.000132 | dt: 1053.23ms | tok/sec:  1944.49
[TRAIN] Step 133 | Loss: 6.482 | LR: 0.000133 | dt: 1056.99ms | tok/sec:  1937.58
[TRAIN] Step 134 | Loss: 6.694 | LR: 0.000134 | dt: 1057.76ms | tok/sec:  1936.17
[TRAIN] Step 135 | Loss: 6.564 | LR: 0.000135 | dt: 1059.21ms | tok/sec:  1933.52
[TRAIN] Step 136 | Loss: 6.609 | LR: 0.000136 | dt: 1060.53ms | tok/sec:  1931.11
[TRAIN] Step 137 | Loss: 6.513 | LR: 0.000137 | dt: 1053.54ms | tok/sec:  1943.93
[TRAIN] Step 138 | Loss: 6.469 | LR: 0.000138 | dt: 1053.43ms | tok/sec:  1944.12
[TRAIN] Step 139 | Loss: 6.525 | LR: 0.000139 | dt: 1059.48ms | tok/sec:  1933.02
[TRAIN] Step 140 | Loss: 6.400 | LR: 0.000140 | dt: 1052.91ms | tok/sec:  1945.09
[TRAIN] Step 141 | Loss: 6.303 | LR: 0.000141 | dt: 1052.72ms | tok/sec:  1945.44
[TRAIN] Step 142 | Loss: 6.227 | LR: 0.000142 | dt: 1055.74ms | tok/sec:  1939.87
[TRAIN] Step 143 | Loss: 6.218 | LR: 0.000143 | dt: 1057.15ms | tok/sec:  1937.29
[TRAIN] Step 144 | Loss: 6.470 | LR: 0.000144 | dt: 1053.83ms | tok/sec:  1943.39
[TRAIN] Step 145 | Loss: 6.629 | LR: 0.000145 | dt: 1049.70ms | tok/sec:  1951.03
[TRAIN] Step 146 | Loss: 6.653 | LR: 0.000146 | dt: 1051.07ms | tok/sec:  1948.49
[TRAIN] Step 147 | Loss: 6.407 | LR: 0.000147 | dt: 1052.32ms | tok/sec:  1946.17
[TRAIN] Step 148 | Loss: 6.648 | LR: 0.000148 | dt: 1049.48ms | tok/sec:  1951.45
[TRAIN] Step 149 | Loss: 6.305 | LR: 0.000149 | dt: 1052.08ms | tok/sec:  1946.62
[TRAIN] Step 150 | Loss: 6.419 | LR: 0.000150 | dt: 1056.63ms | tok/sec:  1938.23
[TRAIN] Step 151 | Loss: 6.366 | LR: 0.000151 | dt: 1055.68ms | tok/sec:  1939.99
[TRAIN] Step 152 | Loss: 6.607 | LR: 0.000152 | dt: 1054.41ms | tok/sec:  1942.32
[TRAIN] Step 153 | Loss: 6.494 | LR: 0.000153 | dt: 1053.11ms | tok/sec:  1944.73
[TRAIN] Step 154 | Loss: 6.294 | LR: 0.000154 | dt: 1057.12ms | tok/sec:  1937.34
[TRAIN] Step 155 | Loss: 6.459 | LR: 0.000155 | dt: 1052.84ms | tok/sec:  1945.22
[TRAIN] Step 156 | Loss: 6.205 | LR: 0.000156 | dt: 1051.37ms | tok/sec:  1947.93
[TRAIN] Step 157 | Loss: 6.199 | LR: 0.000157 | dt: 1050.96ms | tok/sec:  1948.69
[TRAIN] Step 158 | Loss: 6.151 | LR: 0.000158 | dt: 1050.05ms | tok/sec:  1950.39
[TRAIN] Step 159 | Loss: 6.135 | LR: 0.000159 | dt: 1048.65ms | tok/sec:  1952.99
[TRAIN] Step 160 | Loss: 6.114 | LR: 0.000160 | dt: 1054.52ms | tok/sec:  1942.12
[TRAIN] Step 161 | Loss: 6.017 | LR: 0.000161 | dt: 1052.13ms | tok/sec:  1946.53
[TRAIN] Step 162 | Loss: 6.561 | LR: 0.000162 | dt: 1058.67ms | tok/sec:  1934.50
[TRAIN] Step 163 | Loss: 6.796 | LR: 0.000163 | dt: 1053.21ms | tok/sec:  1944.54
[TRAIN] Step 164 | Loss: 6.757 | LR: 0.000164 | dt: 1051.68ms | tok/sec:  1947.37
[TRAIN] Step 165 | Loss: 6.588 | LR: 0.000165 | dt: 1053.88ms | tok/sec:  1943.29
[TRAIN] Step 166 | Loss: 6.413 | LR: 0.000166 | dt: 1058.83ms | tok/sec:  1934.21
[TRAIN] Step 167 | Loss: 6.465 | LR: 0.000167 | dt: 1054.85ms | tok/sec:  1941.51
[TRAIN] Step 168 | Loss: 6.641 | LR: 0.000168 | dt: 1051.51ms | tok/sec:  1947.68
[TRAIN] Step 169 | Loss: 6.472 | LR: 0.000169 | dt: 1052.30ms | tok/sec:  1946.22
[TRAIN] Step 170 | Loss: 6.504 | LR: 0.000170 | dt: 1056.77ms | tok/sec:  1937.99
[TRAIN] Step 171 | Loss: 6.491 | LR: 0.000171 | dt: 1054.95ms | tok/sec:  1941.33
[TRAIN] Step 172 | Loss: 6.479 | LR: 0.000172 | dt: 1055.70ms | tok/sec:  1939.94
[TRAIN] Step 173 | Loss: 6.485 | LR: 0.000173 | dt: 1056.69ms | tok/sec:  1938.13
[TRAIN] Step 174 | Loss: 6.506 | LR: 0.000174 | dt: 1059.67ms | tok/sec:  1932.68
[TRAIN] Step 175 | Loss: 6.154 | LR: 0.000175 | dt: 1053.51ms | tok/sec:  1943.98
[TRAIN] Step 176 | Loss: 6.274 | LR: 0.000176 | dt: 1054.43ms | tok/sec:  1942.28
[TRAIN] Step 177 | Loss: 6.147 | LR: 0.000177 | dt: 1058.66ms | tok/sec:  1934.52
[TRAIN] Step 178 | Loss: 6.010 | LR: 0.000178 | dt: 1053.81ms | tok/sec:  1943.43
[TRAIN] Step 179 | Loss: 5.950 | LR: 0.000179 | dt: 1053.63ms | tok/sec:  1943.76
[TRAIN] Step 180 | Loss: 6.063 | LR: 0.000180 | dt: 1059.79ms | tok/sec:  1932.46
[TRAIN] Step 181 | Loss: 6.134 | LR: 0.000181 | dt: 1058.85ms | tok/sec:  1934.18
[TRAIN] Step 182 | Loss: 6.080 | LR: 0.000182 | dt: 1058.35ms | tok/sec:  1935.09
[TRAIN] Step 183 | Loss: 6.222 | LR: 0.000183 | dt: 1058.60ms | tok/sec:  1934.63
[TRAIN] Step 184 | Loss: 6.056 | LR: 0.000184 | dt: 1061.53ms | tok/sec:  1929.29
[TRAIN] Step 185 | Loss: 6.074 | LR: 0.000185 | dt: 1058.64ms | tok/sec:  1934.56
[TRAIN] Step 186 | Loss: 5.891 | LR: 0.000186 | dt: 1059.74ms | tok/sec:  1932.55
[TRAIN] Step 187 | Loss: 6.349 | LR: 0.000187 | dt: 1055.74ms | tok/sec:  1939.86
[TRAIN] Step 188 | Loss: 6.275 | LR: 0.000188 | dt: 1062.23ms | tok/sec:  1928.02
[TRAIN] Step 189 | Loss: 6.222 | LR: 0.000189 | dt: 1060.48ms | tok/sec:  1931.20
[TRAIN] Step 190 | Loss: 6.448 | LR: 0.000190 | dt: 1059.41ms | tok/sec:  1933.16
[TRAIN] Step 191 | Loss: 6.480 | LR: 0.000191 | dt: 1060.33ms | tok/sec:  1931.48
[TRAIN] Step 192 | Loss: 6.313 | LR: 0.000192 | dt: 1061.01ms | tok/sec:  1930.24
[TRAIN] Step 193 | Loss: 6.389 | LR: 0.000193 | dt: 1059.07ms | tok/sec:  1933.77
[TRAIN] Step 194 | Loss: 6.337 | LR: 0.000194 | dt: 1063.04ms | tok/sec:  1926.56
[TRAIN] Step 195 | Loss: 6.357 | LR: 0.000195 | dt: 1061.01ms | tok/sec:  1930.24
[TRAIN] Step 196 | Loss: 6.232 | LR: 0.000196 | dt: 1059.84ms | tok/sec:  1932.36
[TRAIN] Step 197 | Loss: 6.082 | LR: 0.000197 | dt: 1060.33ms | tok/sec:  1931.47
[TRAIN] Step 198 | Loss: 6.227 | LR: 0.000198 | dt: 1059.53ms | tok/sec:  1932.93
[TRAIN] Step 199 | Loss: 6.121 | LR: 0.000199 | dt: 1066.01ms | tok/sec:  1921.19
[TRAIN] Step 200 | Loss: 6.194 | LR: 0.000200 | dt: 1058.50ms | tok/sec:  1934.82
